id,location,frequency,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1lEk3U3MzbDeL5MNHkE9JU,church,20,71,349587,0.256,0.564,11,-6.496,1,0.0366,0.00274,0.0,0.743,0.152,139.914
0rH0mprtecH3grD9HFM5AD,church,18,73,333386,0.572,0.685,6,-7.29,1,0.0356,0.0291,0.0,0.0963,0.232,110.698
0jOSpB2zK2O0SNxj8ZT5lp,church,16,67,305427,0.318,0.573,1,-5.653,1,0.0324,0.107,0.0,0.0854,0.0765,156.054
4EHWldZTas5KUyFtT0rQlY,church,14,68,205667,0.457,0.451,10,-6.997,1,0.029,0.517,0.0,0.0928,0.185,74.923
40lKptao1hxVqA7fd1OOGp,church,12,66,285160,0.509,0.778,11,-3.608,1,0.0295,0.00998,0.0,0.19,0.216,105.066
3BDpn2Vivr1BFhlGsYs5tp,church,12,67,491691,0.303,0.478,7,-7.851,1,0.0352,0.371,0.0,0.131,0.117,139.795
1mWdyqs6Zvg8b1lKjDc8yB,church,12,69,293398,0.429,0.587,9,-4.588,1,0.0275,0.315,0.0,0.108,0.164,145.003
1Hv54MWloXiAZDam1ez840,church,12,59,296343,0.472,0.351,9,-8.996,1,0.0326,0.589,0.0,0.0821,0.0611,144.01
3iOpiHDobxZO7S4p9Y2Fgu,church,12,69,398333,0.347,0.508,10,-7.555,1,0.0297,0.0119,0.0,0.595,0.159,171.827
50lW1fKoDtyKaiR2bR7ksl,church,11,65,329080,0.271,0.669,6,-6.046,1,0.0362,0.000292,0.0,0.61,0.21,171.911
40ozK0lCJ0EQzVGWsCNUhk,church,11,69,503240,0.432,0.524,4,-8.721,1,0.0321,0.0289,0.0,0.682,0.183,135.956
6Z31l856yEwyJqSBe3qLZ4,church,11,64,327653,0.49,0.51,0,-9.141,1,0.0368,0.628,0.0,0.967,0.197,90.307
57ifvUopbuDoMNpgSD6PzV,church,11,56,232853,0.637,0.547,3,-8.637,1,0.0364,0.315,0.0,0.132,0.479,137.99
0fxpHpK3aw2nFWII6yveDD,church,10,70,342493,0.431,0.485,7,-8.085,1,0.0274,0.452,0.0,0.544,0.367,145.22
5VUQsLff8A3ruAyCdTxqzg,church,10,68,335907,0.545,0.472,11,-7.552,1,0.0279,0.434,0.0,0.0684,0.193,134.027
4PYOh644yKjYyvyVUHqcof,church,10,63,290413,0.39,0.457,9,-7.915,1,0.0327,0.0874,8.9e-06,0.123,0.145,143.977
0aZFEiDKLK2B4gzPaGCZVm,church,10,25,646239,0.361,0.423,10,-11.697,1,0.0375,0.283,6.38e-05,0.0942,0.238,114.66
3gtqd9P8kZblHf4I7Ybub2,church,10,67,363231,0.345,0.747,10,-6.92,1,0.053,0.00214,0.0,0.0928,0.215,154.739
1wuqCUWHniGdEmOKZbQ1cg,church,10,64,405914,0.124,0.437,2,-8.21,1,0.0409,0.0128,0.0,0.12,0.103,80.889
0YxrPdW9NpNFtqh7Fw0rva,church,10,67,470880,0.452,0.866,1,-4.431,1,0.04,0.0041,0.0,0.134,0.291,81.972
5W9Al2ewPfzbWHOV2BAtBR,church,9,64,267067,0.471,0.164,7,-10.879,1,0.0324,0.833,0.0,0.101,0.17,125.242
5C64H6dEsQ15bS9gp0D3Xr,church,9,1,279787,0.512,0.814,10,-5.467,1,0.0327,0.0042,0.0,0.0991,0.273,97.997
0lVYRIVjK77Z6uG2GgM8Kl,church,9,3,248253,0.407,0.612,4,-5.359,1,0.0496,0.0909,0.0,0.0914,0.133,159.527
35GACeX8Zl55jp29xFbvvo,church,9,65,309093,0.329,0.682,0,-6.374,1,0.0526,0.221,0.0,0.19,0.162,148.029
4tZccDFqoZp8IN7VUnsJ9K,church,9,57,253200,0.646,0.647,7,-7.669,1,0.0255,0.0717,0.0,0.216,0.68,136.001
1yYUIjT3bZ9RB9vejqYy9f,church,8,61,341080,0.396,0.521,2,-7.093,1,0.0312,0.0101,0.0,0.884,0.126,135.742
5Mw9bXG1dLNhbjofkVS2oR,church,8,71,535963,0.262,0.361,2,-10.187,1,0.0333,0.508,0.00268,0.108,0.056,126.786
4KLj9QjEhJl2WU50mxRF9Z,church,8,68,238200,0.424,0.506,2,-5.877,1,0.0284,0.201,0.0,0.11,0.138,135.902
2BuhGnXpqMQ8BvOUZpmaVl,church,8,62,568787,0.381,0.505,7,-6.478,1,0.0278,0.293,4.27e-06,0.72,0.0869,140.995
6r0WuK50Lpu9u460x84oBn,church,8,62,515387,0.36,0.608,1,-7.811,1,0.0309,0.065,0.0,0.43,0.21,144.004
5SDcksP8En1l6RtTY1wzHc,church,8,73,536000,0.264,0.363,2,-10.196,1,0.0338,0.501,0.00406,0.11,0.0613,124.328
1GtmiINnAu5K2VEqyh1Xdc,church,8,62,467053,0.403,0.557,1,-6.018,1,0.0314,0.00858,0.0,0.72,0.203,73.998
5O306r2a9Nl7rm5ZlaTqka,church,8,67,507307,0.416,0.583,11,-7.994,1,0.037,0.0383,0.0,0.116,0.185,140.001
0UdWxA5X4OBqCi3kIpC7Fb,church,8,59,201947,0.654,0.545,8,-5.148,1,0.0259,0.607,0.0,0.118,0.396,147.979
4asTccqkv3G7KSKdy7QGED,church,8,55,241933,0.69,0.482,7,-8.246,1,0.0273,0.405,0.0,0.152,0.386,122.898
26G5yboxZToTvLJXeYeaZs,church,8,54,298800,0.577,0.408,9,-8.661,1,0.0272,0.509,0.0,0.155,0.159,131.921
3HZCMyuazaSOLgXexcMASl,church,8,68,214773,0.701,0.494,1,-6.811,1,0.027,0.56,0.0,0.224,0.206,119.998
63VRwbx7NFWSxtyqSNb8Bn,church,8,55,198987,0.629,0.555,6,-5.282,1,0.0252,0.549,0.0,0.135,0.373,104.899
14HrSWGYPCDwqAcVFUYKsq,church,7,60,348893,0.443,0.819,11,-6.61,1,0.0615,0.00338,0.016,0.696,0.0983,116.033
1xI9KSGNJB2eka8FMvovvi,church,7,62,242227,0.469,0.566,7,-6.966,1,0.0357,0.34,0.0,0.203,0.292,73.047
2MobJagQB0dGJoRqI8OT0m,church,7,67,256933,0.459,0.561,7,-7.091,1,0.0271,0.0839,0.0,0.0998,0.306,144.783
0bHcGi6iafYk4TUrqvDYya,church,7,21,732554,0.342,0.18,4,-14.847,1,0.0364,0.872,4.29e-06,0.145,0.211,123.979
